protein_id,accession,host_type,product,length
WZO88379.1,PP681896.1,algae,protein disulfide isomerase,106
WZO88380.1,PP681896.1,algae,GTPase subunit of restriction endonuclease,139
WZO88381.1,PP681896.1,algae,mRNA capping enzyme beta chain,135
WZO88382.1,PP681896.1,algae,domain of unknown function DUF1390,186
WZO88383.1,PP681896.1,algae,hypothetical protein,249
WZO88384.1,PP681896.1,algae,lysophospholipase AB abhydrolase,264
WZO88385.1,PP681896.1,algae,hypothetical protein,137
WZO88386.1,PP681896.1,algae,glycosyltransferase,272
WZO88387.1,PP681896.1,algae,P10 mCP,288
WZO88388.1,PP681896.1,algae,phage/plasmid primase ATPase,653
WZO88389.1,PP681896.1,algae,hypothetical protein,61
WZO88390.1,PP681896.1,algae,RNase III,270
WZO88391.1,PP681896.1,algae,HNH homing endonuclease,352
WZO88393.1,PP681896.1,algae,putative FAD-linked sulfhydryl oxidase,120
WZO88394.1,PP681896.1,algae,MIMIVIRE Cas4-like nuclease,312
WZO88395.1,PP681896.1,algae,DNA primase,441
WZO88396.1,PP681896.1,algae,hypothetical protein,191
WZO88397.1,PP681896.1,algae,hypothetical protein,173
WZO88398.1,PP681896.1,algae,ribonucleoside-diphosphate reductase small subunit,324
WZO88399.1,PP681896.1,algae,HNH endonuclease,316
WZO88400.1,PP681896.1,algae,P16 mCP,91
WZO88401.1,PP681896.1,algae,ring finger ubiquitin ligase,227
WZO88402.1,PP681896.1,algae,MYM-type zinc finger with FCS sequencing motif protein,214
WZO88403.1,PP681896.1,algae,P15 mCP,155
WZO88404.1,PP681896.1,algae,hypothetical protein,147
WZO88405.1,PP681896.1,algae,hypothetical protein,88
WZO88406.1,PP681896.1,algae,hypothetical protein,319
WZO88407.1,PP681896.1,algae,hypothetical protein,76
WZO88408.1,PP681896.1,algae,hypothetical protein,195
WZO88409.1,PP681896.1,algae,pox VLTF3 late transcription factor,364
WZO88410.1,PP681896.1,algae,hypothetical protein,146
WZO88411.1,PP681896.1,algae,P14 mCP,348
WZO88412.1,PP681896.1,algae,hypothetical protein,95
WZO88413.1,PP681896.1,algae,hypothetical protein,279
WZO88414.1,PP681896.1,algae,hypothetical protein,483
WZO88415.1,PP681896.1,algae,hypothetical protein,82
WZO88416.1,PP681896.1,algae,hypothetical protein,99
WZO88417.1,PP681896.1,algae,Zn metallopeptidase,182
WZO88418.1,PP681896.1,algae,P4 mCP,205
WZO88419.1,PP681896.1,algae,P3 mCP,181
WZO88420.1,PP681896.1,algae,P5 mCP,146
WZO88421.1,PP681896.1,algae,hypothetical protein,90
WZO88422.1,PP681896.1,algae,hypothetical protein,90
WZO88423.1,PP681896.1,algae,DNA methyltransferase,352
WZO88424.1,PP681896.1,algae,P13 mCP,64
WZO88425.1,PP681896.1,algae,potassium voltage-gated channel subfamily E member 2,79
WZO88426.1,PP681896.1,algae,hypothetical protein,50
WZO88427.1,PP681896.1,algae,P1v1 mCP,531
WZO88428.1,PP681896.1,algae,intron-associated endonuclease 1,220
WZO88429.1,PP681896.1,algae,hypothetical protein,74
WZO88430.1,PP681896.1,algae,HNH homing endonuclease,331
WZO88431.1,PP681896.1,algae,hypothetical protein,78
WZO88432.1,PP681896.1,algae,hypothetical protein,280
WZO88433.1,PP681896.1,algae,GIY-YIG catalytic domain-containing endonuclease,202
WZO88434.1,PP681896.1,algae,glycoprotein repeat domain-containing protein,1071
WZO88435.1,PP681896.1,algae,ATP-dependent DNA ligase,298
WZO88436.1,PP681896.1,algae,glycosyltransferase,395
WZO88437.1,PP681896.1,algae,ATP-dependent SNF2 helicase,477
WZO88438.1,PP681896.1,algae,dUTPase,141
WZO88439.1,PP681896.1,algae,transcription factor TFIID,317
WZO88440.1,PP681896.1,algae,tRNA(Ile)-lysidine synthase,498
WZO88441.1,PP681896.1,algae,MCPv5,400
WZO88442.1,PP681896.1,algae,hypothetical protein,223
WZO88443.1,PP681896.1,algae,DNA-binding protein,670
WZO88444.1,PP681896.1,algae,P7 mCP,684
WZO88445.1,PP681896.1,algae,hypothetical protein,141
WZO88446.1,PP681896.1,algae,hypothetical protein,184
WZO88447.1,PP681896.1,algae,hypothetical protein,70
WZO88448.1,PP681896.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,116
WZO88449.1,PP681896.1,algae,P4 mCP,181
WZO88450.1,PP681896.1,algae,hypothetical protein,315
WZO88451.1,PP681896.1,algae,proliferating cellular nuclear antigen,248
WZO88452.1,PP681896.1,algae,hypothetical protein,168
WZO88453.1,PP681896.1,algae,hypothetical protein,133
WZO88454.1,PP681896.1,algae,endonuclease II,232
WZO88455.1,PP681896.1,algae,GIY-YIG catalytic domain-containing endonuclease,288
WZO88456.1,PP681896.1,algae,DNA topoisomerase II large subunit,1062
WZO88457.1,PP681896.1,algae,hypothetical protein,287
WZO88458.1,PP681896.1,algae,dCMP deaminase,142
WZO88459.1,PP681896.1,algae,hypothetical protein,188
WZO88460.1,PP681896.1,algae,histidine decarboxylase,365
WZO88461.1,PP681896.1,algae,hypothetical protein,101
WZO88462.1,PP681896.1,algae,ubiquitin,76
WZO88463.1,PP681896.1,algae,hypothetical protein,140
WZO88464.1,PP681896.1,algae,hypothetical protein,106
WZO88466.1,PP681896.1,algae,Zn metallopeptidase,134
WZO88467.1,PP681896.1,algae,hypothetical protein,162
WZO88468.1,PP681896.1,algae,cell envelope protein,453
WZO88469.1,PP681896.1,algae,ankyrin repeat domain-containing protein,390
WZO88470.1,PP681896.1,algae,UDP-glucose dehydrogenase,389
WZO88471.1,PP681896.1,algae,histone H3K27 methylase,119
WZO88472.1,PP681896.1,algae,ser/Thr protein kinase,584
WZO88473.1,PP681896.1,algae,ser/Thr protein kinase,323
WZO88474.1,PP681896.1,algae,hypothetical protein,124
WZO88475.1,PP681896.1,algae,transposase,238
WZO88476.1,PP681896.1,algae,hypothetical protein,83
WZO88477.1,PP681896.1,algae,potassium channel protein,118
WZO88478.1,PP681896.1,algae,MCPv1,525
WZO88480.1,PP681896.1,algae,hypothetical protein,122
WZO88481.1,PP681896.1,algae,ubiquitin carboxyl-terminal hydrolase,438
WZO88482.1,PP681896.1,algae,hypothetical protein,107
WZO88483.1,PP681896.1,algae,ribonucleotide reductase large subunit,767
WZO88484.1,PP681896.1,algae,hypothetical protein,120
WZO88485.1,PP681896.1,algae,hypothetical protein,136
WZO88486.1,PP681896.1,algae,CTP synthetase,540
WZO88488.1,PP681896.1,algae,hypothetical protein,87
WZO88489.1,PP681896.1,algae,hypothetical protein,145
WZO88490.1,PP681896.1,algae,hypothetical protein,448
WZO88491.1,PP681896.1,algae,P8 mCP,171
WZO88492.1,PP681896.1,algae,hypothetical protein,125
WZO88493.1,PP681896.1,algae,hypothetical protein,191
WZO88494.1,PP681896.1,algae,ADP ribosyltransferase,204
WZO88495.1,PP681896.1,algae,hypothetical protein,258
WZO88496.1,PP681896.1,algae,acetyltransferase,197
WZO88497.1,PP681896.1,algae,P14 mCP,228
WZO88498.1,PP681896.1,algae,intron-associated endonuclease 1,252
WZO88499.1,PP681896.1,algae,hypothetical protein,189
WZO88500.1,PP681896.1,algae,Mpv17/PMP22 family protein,170
WZO88501.1,PP681896.1,algae,hypothetical protein,156
WZO88502.1,PP681896.1,algae,hypothetical protein,159
WZO88503.1,PP681896.1,algae,"calcium-transporting ATPase, plasma membrane-type",870
WZO88504.1,PP681896.1,algae,thiosulfate dehydrogenase,117
WZO88505.1,PP681896.1,algae,hypothetical protein,87
WZO88506.1,PP681896.1,algae,elongation factor 3,120
WZO88507.1,PP681896.1,algae,ABC transporter,813
WZO88508.1,PP681896.1,algae,ankyrin repeat PH and SEC7 domain containing protein,207
WZO88509.1,PP681896.1,algae,thymidylate synthase,216
WZO88510.1,PP681896.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,370
WZO88511.1,PP681896.1,algae,ser/Thr protein phosphatase 6 regulatory ankyrin repeat subunit B-like,750
WZO88512.1,PP681896.1,algae,alpha-L-arabinofuranosidase,392
WZO88513.1,PP681896.1,algae,ORFan,142
WZO88514.1,PP681896.1,algae,hypothetical protein,64
WZO88515.1,PP681896.1,algae,intron-associated endonuclease 1,202
WZO88516.1,PP681896.1,algae,hypothetical protein,63
WZO88517.1,PP681896.1,algae,hypothetical protein,63
WZO88518.1,PP681896.1,algae,intron-associated endonuclease 1,202
WZO88519.1,PP681896.1,algae,hypothetical protein,64
WZO88520.1,PP681896.1,algae,ORFan,142
WZO88521.1,PP681896.1,algae,alpha-L-arabinofuranosidase,392
WZO88522.1,PP681896.1,algae,ser/Thr protein phosphatase 6 regulatory ankyrin repeat subunit B-like,750
WZO88523.1,PP681896.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,370
WZO88524.1,PP681896.1,algae,thymidylate synthase,216
WZO88525.1,PP681896.1,algae,ankyrin repeat PH and SEC7 domain containing protein,207
WZO88526.1,PP681896.1,algae,ABC transporter,813
WZO88527.1,PP681896.1,algae,elongation factor 3,120
WZO88528.1,PP681896.1,algae,hypothetical protein,87
WZO88529.1,PP681896.1,algae,thiosulfate dehydrogenase,117
WZO88530.1,PP681896.1,algae,"calcium-transporting ATPase, plasma membrane-type",870
WZO88531.1,PP681896.1,algae,hypothetical protein,159
WZO88532.1,PP681896.1,algae,hypothetical protein,156
WZO88533.1,PP681896.1,algae,Mpv17/PMP22 family protein,170
WZO88534.1,PP681896.1,algae,hypothetical protein,189
WZO88535.1,PP681896.1,algae,intron-associated endonuclease 1,252
WZO88536.1,PP681896.1,algae,P14 mCP,228
WZO88537.1,PP681896.1,algae,acetyltransferase,197
WZO88538.1,PP681896.1,algae,hypothetical protein,258
WZO88539.1,PP681896.1,algae,ADP ribosyltransferase,204
WZO87691.1,PP681895.1,algae,hypothetical protein,78
WZO87692.1,PP681895.1,algae,"calcium-transporting ATPase, plasma membrane-type",52
WZO87693.1,PP681895.1,algae,ATPase,95
WZO87694.1,PP681895.1,algae,ATPase,643
WZO87695.1,PP681895.1,algae,HNH homing endonuclease,347
WZO87696.1,PP681895.1,algae,ankyrin repeat PH and SEC7 domain containing protein,208
WZO87698.1,PP681895.1,algae,thymidylate synthase,216
WZO87699.1,PP681895.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,362
WZO87700.1,PP681895.1,algae,intron-associated endonuclease 1,228
WZO87701.1,PP681895.1,algae,ser/Thr protein phosphatase 6 regulatory ankyrin repeat subunit B-like,677
WZO87702.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,126
WZO87703.1,PP681895.1,algae,hypothetical protein,61
WZO87704.1,PP681895.1,algae,SKP1-like protein,151
WZO87705.1,PP681895.1,algae,GIY-YIG nuclease family protein,230
WZO87706.1,PP681895.1,algae,GIY-YIG nuclease family protein,230
WZO87707.1,PP681895.1,algae,SKP1-like protein,151
WZO87708.1,PP681895.1,algae,hypothetical protein,61
WZO87709.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,126
WZO87710.1,PP681895.1,algae,ser/Thr protein phosphatase 6 regulatory ankyrin repeat subunit B-like,677
WZO87711.1,PP681895.1,algae,intron-associated endonuclease 1,228
WZO87712.1,PP681895.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,362
WZO87713.1,PP681895.1,algae,thymidylate synthase,216
WZO87715.1,PP681895.1,algae,ankyrin repeat PH and SEC7 domain containing protein,208
WZO87716.1,PP681895.1,algae,HNH homing endonuclease,347
WZO87717.1,PP681895.1,algae,ATPase,870
WZO87718.1,PP681895.1,algae,hypothetical protein,159
WZO87719.1,PP681895.1,algae,hypothetical protein,153
WZO87720.1,PP681895.1,algae,Mpv17/PMP22 family protein,173
WZO87721.1,PP681895.1,algae,hypothetical protein,187
WZO87722.1,PP681895.1,algae,hypothetical protein,132
WZO87723.1,PP681895.1,algae,acetyltransferase,196
WZO87724.1,PP681895.1,algae,hypothetical protein,254
WZO87725.1,PP681895.1,algae,hypothetical protein,124
WZO87726.1,PP681895.1,algae,P8 mCP,171
WZO87727.1,PP681895.1,algae,hypothetical protein,454
WZO87728.1,PP681895.1,algae,hypothetical protein,148
WZO87729.1,PP681895.1,algae,ORFan,78
WZO87730.1,PP681895.1,algae,hypothetical protein,87
WZO87732.1,PP681895.1,algae,CTP synthetase,540
WZO87733.1,PP681895.1,algae,hypothetical protein,138
WZO87734.1,PP681895.1,algae,HNH homing endonuclease,303
WZO87735.1,PP681895.1,algae,hypothetical protein,120
WZO87736.1,PP681895.1,algae,ribonucleotide reductase large subunit,767
WZO87737.1,PP681895.1,algae,hypothetical protein,91
WZO87738.1,PP681895.1,algae,ubiquitin carboxyl-terminal hydrolase,434
WZO87739.1,PP681895.1,algae,hypothetical protein,122
WZO87740.1,PP681895.1,algae,zinc finger domain-containing stress-associated protein,59
WZO87741.1,PP681895.1,algae,DNA methyltransferase,350
WZO87742.1,PP681895.1,algae,endonuclease,480
WZO87743.1,PP681895.1,algae,HNH homing endonuclease,343
WZO87744.1,PP681895.1,algae,MCPv1,514
WZO87745.1,PP681895.1,algae,potassium channel protein,118
WZO87746.1,PP681895.1,algae,HNH endonuclease,349
WZO87747.1,PP681895.1,algae,hypothetical protein,83
WZO87748.1,PP681895.1,algae,transposase,220
WZO87749.1,PP681895.1,algae,hypothetical protein,127
WZO87750.1,PP681895.1,algae,ser/Thr protein kinase,323
WZO87751.1,PP681895.1,algae,ser/Thr protein kinase,508
WZO87752.1,PP681895.1,algae,histone H3K27 methylase,119
WZO87753.1,PP681895.1,algae,ankyrin repeat domain-containing protein,390
WZO87754.1,PP681895.1,algae,cell envelope protein,452
WZO87755.1,PP681895.1,algae,hypothetical protein,156
WZO87756.1,PP681895.1,algae,Zn metallopeptidase,125
WZO87758.1,PP681895.1,algae,hypothetical protein,123
WZO87759.1,PP681895.1,algae,hypothetical protein,140
WZO87760.1,PP681895.1,algae,ubiquitin,98
WZO87761.1,PP681895.1,algae,intron-associated endonuclease 1,172
WZO87762.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,100
WZO87763.1,PP681895.1,algae,ADP ribosylglycohydrolase,305
WZO87764.1,PP681895.1,algae,histidine decarboxylase,365
WZO87765.1,PP681895.1,algae,hypothetical protein,188
WZO87766.1,PP681895.1,algae,dCMP deaminase,142
WZO87767.1,PP681895.1,algae,hypothetical protein,262
WZO87769.1,PP681895.1,algae,hypothetical protein,126
WZO87770.1,PP681895.1,algae,hypothetical protein,89
WZO87771.1,PP681895.1,algae,intron-associated endonuclease 1,246
WZO87772.1,PP681895.1,algae,DNA topoisomerase II large subunit,1060
WZO87773.1,PP681895.1,algae,hypothetical protein,133
WZO87774.1,PP681895.1,algae,hypothetical protein,168
WZO87775.1,PP681895.1,algae,proliferating cellular nuclear antigen,248
WZO87776.1,PP681895.1,algae,DNA methyltransferase,325
WZO87777.1,PP681895.1,algae,P4 mCP,181
WZO87778.1,PP681895.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,114
WZO87779.1,PP681895.1,algae,hypothetical protein,133
WZO87780.1,PP681895.1,algae,hypothetical protein,184
WZO87781.1,PP681895.1,algae,hypothetical protein,142
WZO87782.1,PP681895.1,algae,P7 mCP,667
WZO87783.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,269
WZO87784.1,PP681895.1,algae,DNA-binding protein,676
WZO87785.1,PP681895.1,algae,hypothetical protein,234
WZO87786.1,PP681895.1,algae,MCPv5,400
WZO87787.1,PP681895.1,algae,tRNA(Ile)-lysidine synthase,498
WZO87788.1,PP681895.1,algae,transcription factor TFIID,317
WZO87789.1,PP681895.1,algae,dUTPase,141
WZO87790.1,PP681895.1,algae,ATP-dependent SNF2 helicase,453
WZO87791.1,PP681895.1,algae,glycosyltransferase,399
WZO87792.1,PP681895.1,algae,DNA ligase,305
WZO87793.1,PP681895.1,algae,HNH homing endonuclease,344
WZO87794.1,PP681895.1,algae,chlorovirus glycoprotein repeat domain-containing protein,1143
WZO87795.1,PP681895.1,algae,hypothetical protein,271
WZO87796.1,PP681895.1,algae,HNH homing endonuclease,344
WZO87797.1,PP681895.1,algae,hypothetical protein,77
WZO87798.1,PP681895.1,algae,hypothetical protein,72
WZO87799.1,PP681895.1,algae,P1v1 mCP,530
WZO87800.1,PP681895.1,algae,hypothetical protein,50
WZO87801.1,PP681895.1,algae,potassium voltage-gated channel subfamily E member 2,79
WZO87802.1,PP681895.1,algae,hypothetical protein,64
WZO87803.1,PP681895.1,algae,DNA methyltransferase,350
WZO87804.1,PP681895.1,algae,hypothetical protein,61
WZO87805.1,PP681895.1,algae,hypothetical protein,88
WZO87806.1,PP681895.1,algae,P5 mCP,146
WZO87807.1,PP681895.1,algae,hypothetical protein,353
WZO87808.1,PP681895.1,algae,P3 mCP,177
WZO87809.1,PP681895.1,algae,P4 mCP,202
WZO87810.1,PP681895.1,algae,Zn metallopeptidase,174
WZO87811.1,PP681895.1,algae,hypothetical protein,98
WZO87812.1,PP681895.1,algae,hypothetical protein,82
WZO87813.1,PP681895.1,algae,DNA methyltransferase,344
WZO87814.1,PP681895.1,algae,hypothetical protein,476
WZO87815.1,PP681895.1,algae,hypothetical protein,279
WZO87816.1,PP681895.1,algae,hypothetical protein,95
WZO87817.1,PP681895.1,algae,P14 mCP,335
WZO87818.1,PP681895.1,algae,cathelicidin antimicrobial peptide,142
WZO87819.1,PP681895.1,algae,pox VLTF3 late transcription factor,364
WZO87820.1,PP681895.1,algae,hypothetical protein,181
WZO87821.1,PP681895.1,algae,hypothetical protein,61
WZO87822.1,PP681895.1,algae,hypothetical protein,319
WZO87823.1,PP681895.1,algae,HNH homing endonuclease,347
WZO87824.1,PP681895.1,algae,hypothetical protein,88
WZO87825.1,PP681895.1,algae,hypothetical protein,147
WZO87826.1,PP681895.1,algae,P15 mCP,155
WZO87827.1,PP681895.1,algae,MYM-type zinc finger with FCS sequencing motif protein,214
WZO87828.1,PP681895.1,algae,ring finger ubiquitin ligase,228
WZO87829.1,PP681895.1,algae,P16 mCP,91
WZO87830.1,PP681895.1,algae,hypothetical protein,149
WZO87831.1,PP681895.1,algae,ribonucleoside-diphosphate reductase small subunit,324
WZO87832.1,PP681895.1,algae,hypothetical protein,173
WZO87833.1,PP681895.1,algae,hypothetical protein,196
WZO87834.1,PP681895.1,algae,hydroxymethylcytosine-dependent restriction enzyme,393
WZO87835.1,PP681895.1,algae,DNA primase,445
WZO87836.1,PP681895.1,algae,MIMIVIRE Cas4-like nuclease,336
WZO87837.1,PP681895.1,algae,fAD-linked sulfhydryl oxidase,119
WZO87839.1,PP681895.1,algae,HNH homing endonuclease,346
WZO87840.1,PP681895.1,algae,RNase III,263
WZO87841.1,PP681895.1,algae,hypothetical protein,76
WZO87842.1,PP681895.1,algae,phage/plasmid primase ATPase,653
WZO87843.1,PP681895.1,algae,P10 mCP,288
WZO87844.1,PP681895.1,algae,glycosyltransferase,272
WZO87845.1,PP681895.1,algae,lysophospholipase AB abhydrolase,274
WZO87846.1,PP681895.1,algae,hypothetical protein,250
WZO87847.1,PP681895.1,algae,DNA adenine methyltransferase,358
WZO87848.1,PP681895.1,algae,hypothetical protein,245
WZO87849.1,PP681895.1,algae,mRNA capping enzyme beta chain,196
WZO87850.1,PP681895.1,algae,protein disulfide isomerase,106
WZO87851.1,PP681895.1,algae,2-poly prenylphenol 6-hydrolase domain protein kinase/glycosyltransferase,462
WZO87852.1,PP681895.1,algae,hypothetical protein,106
WZO87853.1,PP681895.1,algae,hypothetical protein,308
WZO87854.1,PP681895.1,algae,hypothetical protein,137
WZO87855.1,PP681895.1,algae,HNH homing endonuclease,349
WZO87857.1,PP681895.1,algae,hypothetical protein,79
WZO87858.1,PP681895.1,algae,glutaredoxin,78
WZO87859.1,PP681895.1,algae,chromosomal protein MC1,110
WZO87860.1,PP681895.1,algae,PBCV-specific basic adaptor domain-containing protein/2-cysteine adaptor,62
WZO87861.1,PP681895.1,algae,putative MCM10,149
WZO87862.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,265
WZO87863.1,PP681895.1,algae,major capsid protein Vp54,298
WZO87864.1,PP681895.1,algae,ankyrin repeat domain-containing protein,453
WZO87865.1,PP681895.1,algae,hypothetical protein,71
WZO87866.1,PP681895.1,algae,thioredoxin,113
WZO87867.1,PP681895.1,algae,hypothetical protein,114
WZO87868.1,PP681895.1,algae,ORFan,98
WZO87869.1,PP681895.1,algae,hypothetical protein,150
WZO87870.1,PP681895.1,algae,hypothetical protein,63
WZO87871.1,PP681895.1,algae,P13 mCP,99
WZO87872.1,PP681895.1,algae,hypothetical protein,70
WZO87873.1,PP681895.1,algae,replication factor C,423
WZO87874.1,PP681895.1,algae,HNH homing endonuclease,346
WZO87876.1,PP681895.1,algae,deoxynucleoside kinase,191
WZO87877.1,PP681895.1,algae,hypothetical protein,72
WZO87878.1,PP681895.1,algae,hypothetical protein,232
WZO87879.1,PP681895.1,algae,hypothetical protein,179
WZO87880.1,PP681895.1,algae,hypothetical protein,173
WZO87881.1,PP681895.1,algae,hypothetical protein,109
WZO87882.1,PP681895.1,algae,hypothetical protein,231
WZO87883.1,PP681895.1,algae,P9 mCP,209
WZO87884.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,373
WZO87885.1,PP681895.1,algae,hypothetical protein,538
WZO87886.1,PP681895.1,algae,hypothetical protein,64
WZO87887.1,PP681895.1,algae,P11 mCP,195
WZO87888.1,PP681895.1,algae,periplasmic protein CpxP,93
WZO87889.1,PP681895.1,algae,putative lipoprotein lipase,227
WZO87890.1,PP681895.1,algae,mannan polymerase complexes subunit MNN9,284
WZO87891.1,PP681895.1,algae,hypothetical protein,118
WZO87892.1,PP681895.1,algae,RNase H,194
WZO87893.1,PP681895.1,algae,hypothetical protein,118
WZO87894.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,289
WZO87895.1,PP681895.1,algae,hypothetical protein,152
WZO87896.1,PP681895.1,algae,hypothetical protein,152
WZO87897.1,PP681895.1,algae,hypothetical protein,150
WZO87898.1,PP681895.1,algae,ORFan,95
WZO87899.1,PP681895.1,algae,hypothetical protein,82
WZO87900.1,PP681895.1,algae,hypothetical protein,134
WZO87901.1,PP681895.1,algae,HNH homing endonuclease,276
WZO87902.1,PP681895.1,algae,hypothetical protein,69
WZO87903.1,PP681895.1,algae,HNH endonuclease,348
WZO87904.1,PP681895.1,algae,DNA packaging ATPase,256
WZO87905.1,PP681895.1,algae,P7 mCP,620
WZO87906.1,PP681895.1,algae,hypothetical protein,61
WZO87907.1,PP681895.1,algae,MCPv2,481
WZO87908.1,PP681895.1,algae,endonuclease II,209
WZO87909.1,PP681895.1,algae,hypothetical protein,261
WZO87910.1,PP681895.1,algae,domain of unknown function DUF1390,357
WZO87912.1,PP681895.1,algae,ser/Thr protein phosphatase,318
WZO87913.1,PP681895.1,algae,DNA methyltransferase,260
WZO87914.1,PP681895.1,algae,thaumatin I,272
WZO87915.1,PP681895.1,algae,HNH homing endonuclease,347
WZO87916.1,PP681895.1,algae,helicase protein,1259
WZO87917.1,PP681895.1,algae,hypothetical protein,335
WZO87918.1,PP681895.1,algae,P11 mCP,207
WZO87919.1,PP681895.1,algae,hypothetical protein,122
WZO87920.1,PP681895.1,algae,hypothetical protein,143
WZO87921.1,PP681895.1,algae,HNH homing endonuclease,344
WZO87922.1,PP681895.1,algae,P2 mCP,560
WZO87923.1,PP681895.1,algae,hypothetical protein,134
WZO87924.1,PP681895.1,algae,hypothetical protein,259
WZO87925.1,PP681895.1,algae,lytic polysaccharide monooxygenase,393
WZO87926.1,PP681895.1,algae,hyaluronan synthase,529
WZO87927.1,PP681895.1,algae,polysaccharide deacetylase,369
WZO87928.1,PP681895.1,algae,alginate lyase,251
WZO87929.1,PP681895.1,algae,UDP-N-acetyl-D-mannosamine dehydrogenase/UDP-glucose 6-dehydrogenase,409
WZO87930.1,PP681895.1,algae,hypothetical protein,57
WZO87931.1,PP681895.1,algae,hypothetical protein,108
WZO87932.1,PP681895.1,algae,diadenosine tetraphosphate hydrolase,193
WZO87933.1,PP681895.1,algae,hypothetical protein,358
WZO87934.1,PP681895.1,algae,hypothetical protein,431
WZO87935.1,PP681895.1,algae,hypothetical protein,177
WZO87936.1,PP681895.1,algae,hypothetical protein,120
WZO87937.1,PP681895.1,algae,hypothetical protein,121
WZO87938.1,PP681895.1,algae,glycosyl hydrolase family 71,436
WZO87939.1,PP681895.1,algae,P17 mCP,80
WZO87940.1,PP681895.1,algae,hypothetical protein,76
WZO87941.1,PP681895.1,algae,HNH homing endonuclease,348
WZO87942.1,PP681895.1,algae,hypothetical protein,239
WZO87943.1,PP681895.1,algae,P1 mCP,170
WZO87944.1,PP681895.1,algae,hypothetical protein,116
WZO87945.1,PP681895.1,algae,hypothetical protein,86
WZO87946.1,PP681895.1,algae,dual specificity protein phosphatase 16,186
WZO87947.1,PP681895.1,algae,HNH homing endonuclease,279
WZO87948.1,PP681895.1,algae,hypothetical protein,78
WZO87949.1,PP681895.1,algae,hypothetical protein,223
WZO87950.1,PP681895.1,algae,putative S-adenosyl-L-methionine-dependent methyltransferase,225
WZO87951.1,PP681895.1,algae,hypothetical protein,153
WZO87952.1,PP681895.1,algae,phosphoglycerate mutase,174
WZO87953.1,PP681895.1,algae,ephrin type-A receptor 1,278
WZO87954.1,PP681895.1,algae,fibernectin binding protein,337
WZO87955.1,PP681895.1,algae,hypothetical protein,84
WZO87956.1,PP681895.1,algae,ORFan,58
WZO87957.1,PP681895.1,algae,hypothetical protein,518
WZO87958.1,PP681895.1,algae,nucleotide-sugar epimerase,313
WZO87959.1,PP681895.1,algae,intron-associated endonuclease 1,242
WZO87960.1,PP681895.1,algae,chitosanase,329
WZO87961.1,PP681895.1,algae,serine/threonine protein kinase,283
WZO87962.1,PP681895.1,algae,P19 mCP,368
WZO87963.1,PP681895.1,algae,amidase,279
WZO87964.1,PP681895.1,algae,protein kinase PBCV-1-specific basic adaptor domain-containing protein,608
WZO87965.1,PP681895.1,algae,serine/threonine protein kinase,276
WZO87966.1,PP681895.1,algae,hypothetical protein,244
WZO87967.1,PP681895.1,algae,hypothetical protein,195
WZO87968.1,PP681895.1,algae,hypothetical protein,369
WZO87969.1,PP681895.1,algae,type I restriction enzyme EcoR124II M protein,348
WZO87970.1,PP681895.1,algae,DNA methyltransferase,306
WZO87971.1,PP681895.1,algae,HNH homing endonuclease,346
WZO87972.1,PP681895.1,algae,DNA methyltransferase,340
WZO87973.1,PP681895.1,algae,DNA adenine methyltransferase,393
WZO87974.1,PP681895.1,algae,DNA methyltransferase,371
WZO87975.1,PP681895.1,algae,adenine-specific methyltransferase,278
WZO87976.1,PP681895.1,algae,HNH homing endonuclease,344
WZO87977.1,PP681895.1,algae,DNA methyltransferase,336
WZO87978.1,PP681895.1,algae,adenine-specific methyltransferase,387
WZO87979.1,PP681895.1,algae,type I restriction-modification system methyltransferase,261
WZO87980.1,PP681895.1,algae,hypothetical protein,280
WZO87981.1,PP681895.1,algae,hypothetical protein,70
WZO87982.1,PP681895.1,algae,poxvirus A22-like protein,249
WZO87983.1,PP681895.1,algae,P7 mCP,215
WZO87984.1,PP681895.1,algae,GIY-YIG catalytic domain-containing endonuclease,300
WZO87985.1,PP681895.1,algae,hypothetical protein,154
WZO87986.1,PP681895.1,algae,nucleoprotein,52
WZO87987.1,PP681895.1,algae,putative bifunctional chitinase/lysozyme,821
WZO87989.1,PP681895.1,algae,DNA polymerase,465
WZO87990.1,PP681895.1,algae,DNA polymerase,369
WZO87991.1,PP681895.1,algae,SWI/SNF chromatin remodeling complex,1284
WZO87992.1,PP681895.1,algae,proliferating cellular nuclear antigen,262
WZO87993.1,PP681895.1,algae,hypothetical protein,152
